Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
North America,Guatemala,None,4/10/20,14.42136524,1.85378446,-32.5644767,0.550976808,0.02386493,0.120294102,0,0.542847009,0.017348551,0.099213475,74.16000332,1.288735976
Africa,Guinea,None,4/4/20,9.265753491,4.14193945,-84.48306273,1.222901037,3.229529899,0.005733304,0,3.585265487,0.002586424,0.080626598,77.02271797,1.044812518
Africa,Guinea-Bissau,None,4/29/20,7.058411307,0.237774202,0.083961346,0.306428914,0.002565808,0.125182289,0,2.486276078,0.384709868,3.128848417,42.53582609,2.0378547
South America,Guyana,None,5/10/20,4.291425629,0.861050364,-14.27317071,0.573949131,0.160229253,0.019539402,0.239613297,0.047860295,0.110524588,1.280908373,38.21928189,1.441911098
North America,Haiti,None,5/5/20,5.742628637,0.860531288,13.16243828,1.833920897,0.765281886,0.015575925,0,0.029392919,1.692308497,0.270903917,47.42264043,1.044551959
North America,Honduras,None,3/29/20,18.96535874,1.152979308,-205.5755242,0.095835107,4.378491439,0.036963839,0.140463894,0.123950074,0.932895098,0.533639761,78.76299823,1.093951255
Europe,Hungary,None,3/21/20,8.365856216,5.028230666,-17.36045204,4.51785871,0.111509531,0.154042562,0.077644948,3.042605528,0.919427242,0.384142232,94.39425882,1.433388026
Europe,Iceland,None,3/12/20,7.817551541,48.90126782,-0.011790293,253.2126963,0.133339579,0.005221287,0.141340907,3.912100925,0.000307174,0.873954168,101.5628982,0.865942633
Asia,India,None,3/14/20,51.15350097,0.638753649,0.165326056,0.113848157,3.790418699,0.030633687,0,18.2337383,0.222366912,0.19283996,100.0135648,0.839119521
Asia,Indonesia,None,3/15/20,16.4555667,0.465624586,-104.6602992,0.016067676,6.493526888,0.066788078,0.11305327,12.99638019,2.035865374,0,96.45233656,0.956019907
Asia,Iran,None,2/26/20,58.00973638,0.374481526,0.918136187,0.007903247,29.85576133,0.060511213,0.124294215,209.4568892,249.8222011,0.398250207,89.16299803,1.200064865
Asia,Iraq,None,3/13/20,32.10394398,0.605594186,-21.73264548,0.010182234,1.778036647,0.038082204,0,0.006304218,0.665009785,0,100.2235108,1.00104629
