region,t0,policy_before,policy_after,severity_change,direction
US__Illinois,2020-03-16,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__Illinois,2020-03-17,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Illinois,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Indiana,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Indiana,2020-03-16,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__Indiana,2020-03-19,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Indiana,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Indiana,2020-05-19,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Iowa,2020-03-17,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,4,tightening
US__Iowa,2020-04-04,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Kansas,2020-03-17,No_Measure,Restrict_Mass_Gatherings_and_Schools,3,tightening
US__Kansas,2020-03-30,Restrict_Mass_Gatherings_and_Schools,Lockdown,3,tightening
US__Kansas,2020-05-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Kentucky,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Kentucky,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
US__Kentucky,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Louisiana,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Louisiana,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
US__Louisiana,2020-03-17,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
US__Louisiana,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Louisiana,2020-05-16,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
US__Maine,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Maine,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Maine,2020-04-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Maine,2020-06-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Maryland,2020-03-16,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
US__Maryland,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Maryland,2020-06-04,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Massachusetts,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Massachusetts,2020-03-17,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,4,tightening
US__Michigan,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Michigan,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,4,tightening
US__Michigan,2020-03-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Michigan,2020-06-02,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Minnesota,2020-03-17,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Minnesota,2020-03-28,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
US__Minnesota,2020-05-19,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Mississippi,2020-03-19,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Mississippi,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Mississippi,2020-04-03,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Mississippi,2020-04-28,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Missouri,2020-03-23,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
US__Missouri,2020-04-06,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
